Group,Variable,Epoch,n,ICC_full,CCC_full,ICC_LOO_min,ICC_LOO_max,CCC_LOO_min,CCC_LOO_max,max_abs_delta_ICC,max_abs_delta_CCC,Most_influential_ID_ICC,ICC_change_full_minus_leave_one_out,Max_abs_change_ICC,ICC_after_removing_most_influential_ID,Most_influential_ID_CCC,CCC_change_full_minus_leave_one_out,Max_abs_change_CCC,CCC_after_removing_most_influential_ID,ICC_sign_changes_in_LOO,CCC_sign_changes_in_LOO,High_influence_flag
All,CVCi,Baseline,46,0.669,0.502,0.629,0.747,0.458,0.592,0.078,0.09,22,-0.078,0.078,0.747,22,-0.09,0.09,0.592,False,False,False
All,CVCi,Min 1,46,0.575,0.385,0.53,0.615,0.342,0.429,0.045,0.044,33,0.045,0.045,0.53,7,-0.044,0.044,0.429,False,False,False
All,CVCi,Min 2,46,0.749,0.599,0.711,0.781,0.551,0.641,0.038,0.048,8,0.038,0.038,0.711,8,0.048,0.048,0.551,False,False,False
All,DBP,Baseline,49,0.597,0.423,0.526,0.681,0.354,0.516,0.084,0.093,44,-0.084,0.084,0.681,44,-0.093,0.093,0.516,False,False,False
All,DBP,Min 1,49,0.665,0.477,0.601,0.715,0.408,0.534,0.064,0.069,51,0.064,0.064,0.601,51,0.069,0.069,0.408,False,False,False
All,DBP,Min 2,49,0.787,0.645,0.754,0.819,0.598,0.692,0.032,0.047,21,0.032,0.032,0.754,7,-0.047,0.047,0.692,False,False,False
All,ET-CO2,Baseline,44,0.87,0.764,0.828,0.894,0.701,0.806,0.042,0.063,20,0.042,0.042,0.828,20,0.063,0.063,0.701,False,False,False
All,ET-CO2,Min 1,43,0.445,0.284,0.327,0.553,0.193,0.382,0.118,0.099,33,0.118,0.118,0.327,36,-0.099,0.099,0.382,False,False,False
All,ET-CO2,Min 2,42,0.661,0.478,0.607,0.721,0.423,0.533,0.06,0.056,26,-0.06,0.06,0.721,31,0.056,0.056,0.423,False,False,False
All,HR,Baseline,49,0.937,0.878,0.927,0.946,0.862,0.895,0.01,0.018,13,0.01,0.01,0.927,18,-0.018,0.018,0.895,False,False,False
